timestamp,requests,bytes,error_rate
2025-12-30 07:57:35.185524,5047,9130785,0.018565108382615873
2025-12-30 08:02:35.185524,5697,7614137,0.029449251676461924
2025-12-30 08:07:35.185524,3699,7039730,0.011435539973760067
2025-12-30 08:12:35.185524,5054,8814707,0.013592831888107264
2025-12-30 08:17:35.185524,5031,6640695,0.024290858396621807
2025-12-30 08:22:35.185524,5358,10298964,0.021959259559967068
2025-12-30 08:27:35.185524,5120,7310950,0.0304554657485867
2025-12-30 08:32:35.185524,5378,7562612,0.011716472988651784
2025-12-30 08:37:35.185524,5717,6987192,0.027561157069263445
2025-12-30 08:42:35.185524,4949,6486529,0.0208077606176013
2025-12-30 08:47:35.185524,4920,3490776,0.024958470419720016
2025-12-30 08:52:35.185524,5081,5306483,0.02521441972414197
2025-12-30 08:57:35.185524,5433,6029026,0.026744429802587646
2025-12-30 09:02:35.185524,6049,3482575,0.01643924145838596
2025-12-30 09:07:35.185524,5358,3381941,0.023530968984707495
2025-12-30 09:12:35.185524,5003,5433858,0.017206310145818235
2025-12-30 09:17:35.185524,6304,3608156,0.021926283947337463
2025-12-30 09:22:35.185524,5886,11517650,0.031925960457194986
2025-12-30 09:27:35.185524,5339,9973735,0.023742336888795835
2025-12-30 09:32:35.185524,5757,4978120,0.014810300248780795
2025-12-30 09:37:35.185524,6436,10045992,0.02119306540483222
2025-12-30 09:42:35.185524,4878,9033786,0.024954403567906333
2025-12-30 09:47:35.185524,6161,5473215,0.03165446635952763
2025-12-30 09:52:35.185524,6644,6397170,0.03298830016021798
2025-12-30 09:57:35.185524,5954,8782601,0.017089899142691007
2025-12-30 10:02:35.185524,5608,9226504,0.01813391658304026
2025-12-30 10:07:35.185524,6443,5070368,0.02568599150541297
2025-12-30 10:12:35.185524,6132,9909571,0.027512157643224223
2025-12-30 10:17:35.185524,6269,5991366,0.022390076158609693
2025-12-30 10:22:35.185524,5808,5492994,0.02461774670741152
2025-12-30 10:27:35.185524,6802,8492663,0.018970675432163395
2025-12-30 10:32:35.185524,6295,8173785,0.03318056804363701
2025-12-30 10:37:35.185524,6860,7134806,0.018650210023182068
2025-12-30 10:42:35.185524,6701,4614079,0.018291704267593873
2025-12-30 10:47:35.185524,5579,5437957,0.02053442313535961
2025-12-30 10:52:35.185524,5551,7691456,0.03163791470085503
2025-12-30 10:57:35.185524,6469,8097475,0.032917616388474166
2025-12-30 11:02:35.185524,6409,11661372,0.030652196916586022
2025-12-30 11:07:35.185524,6298,12465178,0.019547476369101653
2025-12-30 11:12:35.185524,5902,7275222,0.03401385392815933
2025-12-30 11:17:35.185524,6875,3539289,0.02476491734745251
2025-12-30 11:22:35.185524,6971,13575211,0.02453068061792984
2025-12-30 11:27:35.185524,7183,5354456,0.025240081633310193
2025-12-30 11:32:35.185524,6946,13033199,0.0311631395971785
2025-12-30 11:37:35.185524,6365,4490275,0.033660219326728705
2025-12-30 11:42:35.185524,7478,10220677,0.03946239549639982
2025-12-30 11:47:35.185524,6489,10788787,0.03599986558733315
2025-12-30 11:52:35.185524,7095,8925695,0.021417907472748396
2025-12-30 11:57:35.185524,6530,11629056,0.021334048429367022
2025-12-30 12:02:35.185524,6847,7894109,0.024179666553667586
2025-12-30 12:07:35.185524,6714,6346492,0.0285995585273375
2025-12-30 12:12:35.185524,6786,5047423,0.023912136608067146
2025-12-30 12:17:35.185524,6220,9390695,0.03894623561843674
2025-12-30 12:22:35.185524,7429,10215563,0.03127824458635736
2025-12-30 12:27:35.185524,7797,9918491,0.03622587273588097
2025-12-30 12:32:35.185524,7108,9168696,0.0323773571633457
2025-12-30 12:37:35.185524,7791,8156728,0.026413926523292053
2025-12-30 12:42:35.185524,7124,13290791,0.03336394128292985
2025-12-30 12:47:35.185524,7737,4179690,0.02551703982395126
2025-12-30 12:52:35.185524,6281,9589669,0.03090228981970719
2025-12-30 12:57:35.185524,7653,6291974,0.0233397928607788
2025-12-30 13:02:35.185524,7070,11097778,0.030571735106495246
2025-12-30 13:07:35.185524,6463,8730157,0.038483011043895114
2025-12-30 13:12:35.185524,7040,5783633,0.03922453204698005
2025-12-30 13:17:35.185524,6826,7043317,0.03744519360395193
2025-12-30 13:22:35.185524,5734,11102833,0.030030985087309656
2025-12-30 13:27:35.185524,6819,13345488,0.02565640217654703
2025-12-30 13:32:35.185524,7223,9056387,0.036433996758812065
2025-12-30 13:37:35.185524,7337,14059528,0.03327352629617614
2025-12-30 13:42:35.185524,6924,6144915,0.04164929687670619
2025-12-30 13:47:35.185524,7193,5336173,0.03263177354754702
2025-12-30 13:52:35.185524,6769,5005984,0.03706908708729109
2025-12-30 13:57:35.185524,7761,15187645,0.02836348749477594
2025-12-30 14:02:35.185524,6795,6177902,0.032242861149483285
2025-12-30 14:07:35.185524,7369,7958588,0.029953593377002673
2025-12-30 14:12:35.185524,7459,11330804,0.02730525081732832
2025-12-30 14:17:35.185524,7427,5011887,0.04060424809849204
2025-12-30 14:22:35.185524,7032,8350286,0.02860205392609616
2025-12-30 14:27:35.185524,7259,8132050,0.04449947279754558
2025-12-30 14:32:35.185524,6931,8507359,0.04632697157756055
2025-12-30 14:37:35.185524,7026,11085779,0.027841095780169446
2025-12-30 14:42:35.185524,6890,10985426,0.04451881114390455
2025-12-30 14:47:35.185524,6099,6795696,0.029338943473932788
2025-12-30 14:52:35.185524,7321,6968301,0.04353865127300793
2025-12-30 14:57:35.185524,6917,3843623,0.03528431293149653
2025-12-30 15:02:35.185524,7382,14392954,0.04285365592090156
2025-12-30 15:07:35.185524,7447,4219353,0.04133753293581875
2025-12-30 15:12:35.185524,7144,12453881,0.047292125618142895
2025-12-30 15:17:35.185524,7247,13911017,0.04200615009113516
